-0.125664, 7.86437e-07, 99.9999
-0.239729, -0.0323272, 99.9803
-0.364435, -0.0895483, 99.9759
-0.470308, -0.176901, 99.9947
-0.55431, -0.296808, 99.9887
-0.610934, -0.437794, 99.9732
-0.643055, -0.591489, 99.9704
-0.650535, -0.755445, 99.9741
-0.611662, -0.943401, 99.9651
-0.573838, -1.10669, 99.9813
-0.49242, -1.27772, 99.9797
-0.350105, -1.43096, 99.9642
-0.181337, -1.58186, 99.9448
0.0440845, -1.70161, 99.9446
0.280539, -1.79886, 99.9242
0.536384, -1.87412, 99.8891
0.839744, -1.88345, 99.8717
1.14411, -1.85365, 99.884
1.46558, -1.77153, 99.8865
1.78856, -1.64288, 99.8886
2.0838, -1.4776, 99.9005
2.36614, -1.24367, 99.9163
2.64004, -0.971381, 99.9053
2.86523, -0.662079, 99.9009
3.0553, -0.3054, 99.8876
3.21205, 0.0829302, 99.8814
3.30421, 0.515877, 99.8726
3.32325, 0.965153, 99.8719
3.30892, 1.44091, 99.8634
3.2155, 1.9273, 99.8384
3.0674, 2.39443, 99.8251
2.83514, 2.8445, 99.8144
2.54587, 3.28732, 99.7937
2.17332, 3.70083, 99.801
1.75912, 4.06861, 99.7836
1.2764, 4.38365, 99.7967
0.741423, 4.65747, 99.7958
0.164395, 4.85661, 99.7875
-0.434033, 4.97235, 99.7857
-1.08297, 5.01358, 99.7984
-1.70388, 4.97607, 99.8107
-2.329, 4.83369, 99.8148
-2.97234, 4.60303, 99.8272
-3.60569, 4.29336, 99.8303
-4.19599, 3.88477, 99.8112
-4.74131, 3.41023, 99.8251
-5.22848, 2.85972, 99.8232
-5.65212, 2.22657, 99.8317
-5.9977, 1.51912, 99.8312
-6.24727, 0.773973, 99.8122
-6.40073, 0.0103843, 99.794
-6.4735, -0.819166, 99.7895
-6.44413, -1.67082, 99.7794
-6.29873, -2.50371, 99.7734
-6.04367, -3.33121, 99.7618
-5.68592, -4.12639, 99.746
-5.21803, -4.89462, 99.7403
-4.63982, -5.60902, 99.731
-3.96982, -6.25138, 99.7282
-3.21967, -6.80638, 99.7158
-2.37917, -7.26513, 99.6929
-1.47858, -7.61108, 99.6691
-0.505278, -7.85297, 99.6517
